 sex row_number liters_drunk age drink check_number
1646 м 95.0 3 22 Water 3954
1647 M 48.0 5 13 Cola 9590
1648 - 93.0 5 65 Fanta 5559
1649 - 4.0 0 28 Bugbeer 3217
1650 "Не указан" 20.0 3 11 Fanta 4795
1651 ж 23.0 4 21 Beerbeer 1777
1652 м 4.0 1 34 "Strong beer" 2485
1653 Ж 57.0 3 55 Water 6677
1654 ж 95.0 1 57 Fanta 1503
1655 "Не указан" 89.0 2 69 Fanta 6944
1656 Ж 98.0 3 31 Fanta 5617
1657 "Не указан"  -1 56 "Strong beer" 1172
1658 м 83.0 3 32 Cola 136
1659 M 98.0 3 65 Fanta 3101
1660 - 44.0 5 33 Water 539
1661 ж 84.0 3 23 Fanta 478
1662 ж 21.0 0 43 Fanta 679
1663 Ж 56.0 5 27 Fanta 6303
1664 - 27.0 3 60 Fanta 2604
1665 - 96.0 4 34 Cola 1626
1666 - 41.0 5 69 "Strong beer" 1026
1667 M 17.0 2 65 Bugbeer 9353
1668 м 73.0 0 21 Fanta 201
1669 ж 18.0 4618099 80 Bugbeer 4026
1670 ж 33.0 56351312 33 Beerbeer 4166
1671 "Не указан" 19.0 2 25 Fanta 347
1672 Ж 69.0 1 45 Cola 1438
1673 - 1.0 2 40 Water 4964
1674 м 95.0 -1 38 Fanta 2407
1675 ж 64.0 0 54 Water 405
1676 - 44.0 0 76 Cola 5752
1677 - 34.0 5 18 Cola 3951
1678 M 88.0 2 74 Bugbeer 7537
1679 M 15.0 96225645 17 Water 8659
1680 Ж 5.0 0 11 Cola 5392
1681 - 84.0 1 13 Fanta 4934
1682 Ж 65.0 30998808 32 Beerbeer 5666
1683 ж 76.0 5 33 "Strong beer" 3135
1684 Ж 9.0 2 50 Water 5402
1685 м 92.0 4 74 Beerbeer 3000
1686 Ж 89.0 1 68 Cola 5664
1687 "Не указан" 26.0 3 20 Water 6045
1688 м 10.0 1 17 Fanta 3518
1689 ж 49.0 4 14 Water 5192
1690 "Не указан" 92.0 3 17 Cola 220
1691 м 92.0 2 15 Fanta 2401
1692 "Не указан" 14.0 2 29 Beerbeer 3348
1693 м 57.0 1 33 Cola 1226
1694 Ж 2.0 -6 44 Fanta 4403
1695 м 49.0 -1 59 Fanta 1612
1696 ж 76.0 3 11 Water 680
1697 ж 78.0 2 59 Cola 7059
1698 м 26.0 2 29 Beerbeer 6293
1699 "Не указан" 80.0 0 80 Water 1235
1700 м 98.0 1 33 Water 86
1701 ж 56.0 4 77 Fanta 272
1702 - 46.0 2 76 Beerbeer 1384
1703 ж 81.0 2 39 Cola 4156
1704 - 23.0 0 31 Bugbeer 2001
1705 M 45.0 4 60 Bugbeer 950
1706 - 81.0 1 77 "Strong beer" 8049
1707 ж 55.0 5 20 Cola 302
1708 - 31.0 0 78 Fanta 6652
1709 M 49.0 0 69 Fanta 952
1710 м 74.0 4 76 Fanta 9411
1711 "Не указан" 93.0 5 69 Beerbeer 4941
1712 Ж 59.0 1 79 Cola 7502
1713 - 38.0 4 19 Cola 9847
1714 Ж 67.0 5 33 Fanta 8373
1715 "Не указан" 69.0 3 26 Fanta 7988
1716 - 99.0 4 28 Water 8985
1717 Ж 85.0 1615172 12 Water 6866
1718 м  3 22 "Strong beer" 5660
1719 M 70.0 4 76 Cola 4538
1720 ж 66.0 55827127 33 Beerbeer 8717
1721 M 45.0 1 28 Beerbeer 2009
1722 ж 39.0 -2 24 "Strong beer" 2337
1723 м 53.0 1 61 Beerbeer 4151
1724 м 72.0 2 55 Fanta 1883
1725 Ж 52.0 0 22 Water 3910
1726 м 42.0 1 15 Water 5986
1727 Ж 5.0 2 71 Beerbeer 2678
1728 "Не указан" 47.0 -1 37 "Strong beer" 6851
1729 Ж 0.0 4 27 Water 5384
1730 "Не указан" 72.0 0 79 Water 3132
1731 M 32.0 4 73 "Strong beer" 2942
1732 "Не указан" 12.0 1 40 "Strong beer" 3517
1733 Ж 78.0 1 55 Cola 5158
1734 ж 16.0 1 32 "Strong beer" 7393
1735 M 12.0 1 20 Cola 8615
1736 M 12.0 -6 70 "Strong beer" 4401
1737 - 79.0 3 20 Water 3324
1738 M 94.0 3 19 Water 9962
1739 M 19.0 -1 38 Bugbeer 4347
1740 - 36.0 -5 14 Cola 8027
1741 - 32.0 1 74 Beerbeer 3859
1742 "Не указан" 11.0 0 46 Beerbeer 8421
1743 м 48.0 0 66 "Strong beer" 8356
1744 M 97.0 5 47 Beerbeer 8283
1745 M 95.0 3 45 Beerbeer 670
1746 M 94.0 17621857 25 Water 7432
1747 "Не указан" 40.0 3 46 Cola 1042
1748 м 35.0 0 35 Fanta 3157
1749 "Не указан" 7.0 2 59 Water 3889
1750 ж 5.0 0 62 Beerbeer 5412
1751 M 82.0 3 40 Fanta 8081
1752 "Не указан" 9.0 1 52 Water 3844
1753 Ж 11.0 3 79 Fanta 4334
1754 ж 99.0 0 74 "Strong beer" 5477
1755 Ж 77.0 0 78 Bugbeer 738
1756 Ж 20.0 4 72 Fanta 1357
1757 ж 89.0 -2 12 Fanta 11
1758 - 82.0 4 55 Bugbeer 3781
1759 "Не указан" 40.0 2 77 "Strong beer" 7666
1760 Ж 19.0 1 34 "Strong beer" 4716
1761 M 31.0 88731292 40 "Strong beer" 4609
1762 - 80.0 4 67 Water 3453
1763 "Не указан" 22.0 4 58 Water 1348
1764 "Не указан" 46.0 4 76 Cola 5453
1765 - 80.0 0 52 Fanta 4872
1766 "Не указан" 77.0 2 73 "Strong beer" 2302
1767 M 54.0 2 55 Beerbeer 6742
1768 - 37.0 2 27 Beerbeer 2935
1769 - 72.0 0 70 Water 9784
1770 M 42.0 0 65 "Strong beer" 8200
1771 M 50.0 2 44 Water 6108
1772 Ж 74.0 1 73 Water 4899
1773 "Не указан" 29.0 4 62 Water 9352
1774 "Не указан" 9.0 3 69 Water 5260
1775 "Не указан" 9.0 5 20 Cola 926
1776 "Не указан" 69.0 3 25 Bugbeer 6893
1777 Ж 13.0 60765495 14 Water 3004
1778 M 41.0 2 72 Cola 2312
1779 Ж 26.0 3 17 Cola 6924
1780 м 79.0 0 70 Beerbeer 2326
1781 Ж 30.0 1 59 Water 7814
1782 M 35.0 3 75 Fanta 3454
1783 - 38.0 0 13 Water 17
1784 "Не указан" 55.0 5 41 "Strong beer" 1103
1785 ж 35.0 3 58 Bugbeer 8241
1786 Ж 23.0 0 33 Bugbeer 8744
1787 м 16.0 5 72 "Strong beer" 5547
1788 - 94.0 3 65 Cola 7017
1789 м 8.0 4 64 "Strong beer" 4690
1790 "Не указан" 58.0 2 54 "Strong beer" 3447
1791 м 87.0 1 32 Fanta 4169
1792 - 87.0 3 15 Cola 535
1793 Ж 93.0 1 24 Bugbeer 7453
1794 Ж 23.0 4 17 Cola 1390
1795 Ж 58.0 3 60 Beerbeer 6727
1796 Ж 58.0 0 47 Bugbeer 3836
1797 Ж 84.0 5 50 Fanta 9616
1798 M 81.0 1 23 "Strong beer" 7229
1799 ж 66.0 5 22 Beerbeer 7795
1800 м 58.0 3 67 Cola 5058
1801 "Не указан"  4 64 Beerbeer 9134
1802 "Не указан" 40.0 5 68 Bugbeer 3822
1803 "Не указан" 83.0 5 18 Cola 2846
1804 Ж 64.0 3 54 Cola 1881
1805 Ж 10.0 2 73 Cola 7698
1806 ж 43.0 4 79 Bugbeer 2107
1807 M  94778217 64 Bugbeer 4037
1808 "Не указан" 4.0 0 70 Beerbeer 1730
1809 M 5.0 2 39 Water 5640
1810 Ж 83.0 3 37 Bugbeer 5130
1811 "Не указан" 2.0 0 70 Cola 7912
1812 "Не указан" 16.0 1 46 "Strong beer" 723
1813 - 21.0 1 17 Water 7258
1814 - 81.0 3 55 Fanta 3028
1815 ж 33.0 5 19 Fanta 3684
1816 M 51.0 2 53 Water 5736
1817 M 97.0 4 53 Fanta 8800
1818 ж 78.0 1 78 Cola 7031
1819 м 80.0 0 23 Beerbeer 8790
1820 "Не указан" 36.0 2 59 "Strong beer" 87
1821 м 50.0 3 11 Cola 4557
1822 ж 100.0 3 68 Cola 2628
1823 M 82.0 0 17 Fanta 3360
1824 - 42.0 2 55 Water 2722
1825 ж 22.0 1 65 "Strong beer" 8893
1826 Ж 6.0 0 62 Beerbeer 8721
1827 ж 66.0 2 71 Cola 5446
1828 ж 69.0 1 50 Fanta 2816
1829 M 16.0 4 37 Beerbeer 2797
1830 "Не указан"  0 63 Bugbeer 4535
1831 м 31.0 0 33 Fanta 7381
1832 м 84.0 0 76 Water 1794
1833 Ж 90.0 3 47 Water 6439
1834 Ж 79.0 4 59 Cola 1828
1835 "Не указан" 66.0 0 52 Beerbeer 8133
1836 ж 48.0 -2 26 "Strong beer" 7047
1837 ж 75.0 3 30 Water 9024
1838 M 32.0 3 51 Beerbeer 4390
1839 Ж 79.0 5 62 Beerbeer 1701
1840 "Не указан" 35.0 1 65 Cola 9049
1841 - 60.0 4 45 Fanta 3752
1842 м  5 63 Beerbeer 7934
1843 - 22.0 2 38 Bugbeer 1964
1844 Ж  0 60 Bugbeer 9831
1845 - 75.0 4 21 Water 3888
1846 Ж 37.0 5 31 Water 8270
1847 M 29.0 0 26 Beerbeer 399
1848 M 69.0 5 39 Fanta 6347
1849 Ж 59.0 3 19 Fanta 533
1850 м 81.0 3 26 "Strong beer" 5110
1851 M 92.0 1 74 Beerbeer 3747
1852 Ж 18.0 4 34 Bugbeer 9044
1853 "Не указан" 90.0 5 28 Bugbeer 5644
1854 M 33.0 19728382 23 Water 1847
1855 - 8.0 5 22 Water 7504
1856 ж 79.0 -6 79 Fanta 5469
1857 Ж 64.0 4 54 Cola 9048
1858 ж 39.0 2 74 Beerbeer 1923
1859 ж 51.0 13314084 40 "Strong beer" 8517
1860 Ж 78.0 2 38 Fanta 6740
1861 - 75.0 3 11 Cola 9059
1862 - 93.0 4 31 Fanta 6000
1863 M 2.0 3 59 "Strong beer" 9604
1864 M 80.0 3 75 Water 4909
1865 M 54.0 1 28 Beerbeer 6885
1866 "Не указан" 72.0 4 60 "Strong beer" 2999
1867 м  2 75 Beerbeer 6703
1868 Ж 82.0 2 78 "Strong beer" 4083
1869 Ж 52.0 3 35 Fanta 9636
1870 м 52.0 5 59 Fanta 6951
1871 м 86.0 0 67 Water 1485
1872 "Не указан" 61.0 -1 41 Fanta 1263
1873 "Не указан" 61.0 5 72 Cola 8295
1874 M 11.0 5 38 Bugbeer 5452
1875 м 5.0 0 73 Fanta 3440
1876 - 13.0 0 13 Fanta 5401
1877 Ж 41.0 0 76 "Strong beer" 996
1878 "Не указан" 97.0 0 76 Cola 1867
1879 Ж 10.0 3 23 "Strong beer" 8102
1880 - 88.0 1 45 Fanta 5873
1881 "Не указан" 76.0 -3 11 Fanta 9995
1882 - 33.0 1 14 Fanta 7700
1883 ж 95.0 5 22 "Strong beer" 2272
1884 Ж 68.0 -3 70 Water 4309
1885 ж 4.0 3 77 Water 9493
1886 "Не указан" 82.0 0 76 Fanta 2989
1887 м 0.0 0 76 Cola 4696
1888 ж 69.0 5 41 Bugbeer 3401
1889 м 72.0 82352233 31 Bugbeer 3921
1890 Ж 38.0 4 45 Cola 1304
1891 "Не указан" 49.0 0 29 Bugbeer 6136
1892 - 9.0 3 36 Beerbeer 203
1893 M  3 80 "Strong beer" 5217
1894 м 76.0 2 44 Bugbeer 7494
1895 ж 96.0 3 76 "Strong beer" 431
1896 - 79.0 5 33 "Strong beer" 622
1897 M 7.0 1 18 Water 2629
1898 м 6.0 5 61 Beerbeer 1786
1899 Ж  2 35 Beerbeer 7015
1900 M 58.0 4 69 Beerbeer 5271
1901 м 13.0 5 58 Cola 4055
1902 ж 18.0 2 18 Fanta 6423
1903 Ж 32.0 3 53 Beerbeer 9311
1904 "Не указан" 19.0 0 38 Water 5948
1905 м 91.0 3 61 Beerbeer 7075
1906 м 62.0 4 29 "Strong beer" 4750
1907 ж 92.0 3 14 Water 6842
1908 м  2 73 Cola 9594
1909 M 53.0 1 19 Fanta 4766
1910 Ж 63.0 2 63 Cola 6845
1911 - 23.0 2 60 Bugbeer 1812
1912 "Не указан" 32.0 3 10 Fanta 7452
1913 Ж  4 17 Water 2328
1914 Ж 32.0 -2 62 Cola 6813
1915 ж 54.0 -6 28 Bugbeer 8833
1916 Ж 70.0 0 55 "Strong beer" 1516
1917 "Не указан" 100.0 4 55 Fanta 1630
1918 м 12.0 5 14 Fanta 1201
1919 M 9.0 4 26 Bugbeer 9902
1920 ж 97.0 4 62 Bugbeer 9815
1921 "Не указан" 19.0 0 11 Fanta 2083
1922 "Не указан" 8.0 4 54 Beerbeer 9365
1923 Ж 31.0 1 69 Bugbeer 692
1924 ж 43.0 3 49 Beerbeer 4994
1925 ж 67.0 2 18 Cola 793
1926 M 94.0 4 13 Fanta 9125
1927 Ж 52.0 3 22 "Strong beer" 2997
1928 ж 47.0 3 67 Water 8401
1929 Ж 18.0 2 18 Water 2340
1930 - 60.0 1 18 Water 6251
1931 Ж 65.0 0 33 Cola 3644
1932 "Не указан" 99.0 2 48 Beerbeer 7679
1933 ж 53.0 3 13 Fanta 3894
1934 M 30.0 0 13 Water 6695
1935 - 44.0 4 45 Cola 6263
1936 Ж  5 63 Water 2098
1937 ж 16.0 96069103 70 Water 4140
1938 м 93.0 3 19 Fanta 6290
1939 M 83.0 4 58 Bugbeer 8132
1940 ж 18.0 3 46 "Strong beer" 6954
1941 M 91.0 0 45 Fanta 9051
1942 м 14.0 0 34 "Strong beer" 3071
1943 M 23.0 1 46 "Strong beer" 5139
1944 ж 7.0 0 66 "Strong beer" 4753
1945 M 60.0 4 63 Water 3823
1946 "Не указан" 18.0 2 12 Fanta 894
1947 ж 94.0 3 63 Beerbeer 3618
1948 ж 69.0 3 62 "Strong beer" 7739
1949 "Не указан" 87.0 5 21 Cola 5849
1950 "Не указан" 95.0 4 57 Water 2426
1951 ж 11.0 1 44 Beerbeer 313
1952 M 12.0 5 54 "Strong beer" 6421
1953 ж 31.0 0 61 Cola 1723
1954 Ж 39.0 2 77 Cola 5258
1955 - 11.0 4 30 Bugbeer 7239
1956 ж 35.0 2 33 "Strong beer" 4968
1957 Ж 60.0 3 44 Bugbeer 3362
1958 ж 53.0 3 46 Bugbeer 4590
1959 "Не указан" 30.0 5 32 Fanta 2296
1960 ж 85.0 -4 52 "Strong beer" 2032
1961 Ж 92.0 5 29 Fanta 3049
1962 M 21.0 0 61 Fanta 3647
1963 M 48.0 0 42 Beerbeer 729
1964 M 83.0 3 53 Bugbeer 8693
1965 - 66.0 2 25 Bugbeer 6117
1966 "Не указан" 25.0 4 16 Water 3182
1967 "Не указан" 89.0 2 68 Fanta 5540
1968 "Не указан" 70.0 1 27 Fanta 9861
1969 Ж 67.0 4 47 Bugbeer 6807
1970 "Не указан" 85.0 0 22 Fanta 6153
1971 ж 8.0 -3 50 "Strong beer" 2305
1972 M 12.0 3 15 Water 1120
1973 м 2.0 5 44 "Strong beer" 5212
1974 "Не указан" 40.0 0 23 Cola 8385
1975 Ж 83.0 0 63 Bugbeer 1381
1976 м 4.0 5 56 Bugbeer 7114
1977 "Не указан" 42.0 1 78 Bugbeer 47
1978 "Не указан" 74.0 0 25 Water 4307
1979 м 41.0 0 75 Water 60
1980 м 42.0 4 76 Cola 9067
1981 ж 12.0 1 67 Beerbeer 7224
1982 M 26.0 2 33 Water 3735
1983 м 66.0 -5 21 Fanta 7423
1984 M 8.0 2 32 "Strong beer" 9916
1985 M 26.0 5 33 Water 1606
1986 Ж 61.0 4 29 Bugbeer 3792
1987 "Не указан" 78.0 5 44 Water 9432
1988 м 71.0 4 26 "Strong beer" 2724
1989 ж 41.0 4 20 Fanta 4236
1990 ж 59.0 5 56 Cola 6966
1991 - 21.0 2 43 Water 1962
1992 ж 42.0 3 50 "Strong beer" 584
1993 M  2 32 Cola 2573
1994 M 10.0 4 28 "Strong beer" 1269
1995 "Не указан" 34.0 4 75 Beerbeer 4441
1996 м 34.0 0 14 Cola 4355
1997 м 35.0 0 39 Cola 8862
1998 M 20.0 2 63 Beerbeer 8891
1999 м 56.0 3 77 Beerbeer 6711
2000 M 85.0 1 59 Cola 4508
2001 м 8.0 4 48 Beerbeer 151
2002 M 28.0 0 59 Cola 8719
2003 M 99.0 3 30 Fanta 1479
2004 ж 47.0 4 37 Bugbeer 9446
2005 Ж 18.0 2 54 Beerbeer 3551
2006 - 50.0 1 48 "Strong beer" 6843
2007 "Не указан" 28.0 4 19 Water 1028
2008 Ж 56.0 2 59 Bugbeer 930
2009 M 34.0 1 68 Fanta 9489
2010 - 95.0 2 60 Water 2046
2011 м 30.0 3 16 Cola 8008
2012 м 72.0 0 47 Cola 8734
2013 - 64.0 69875149 62 Beerbeer 5911
2014 ж 86.0 3 39 Cola 1956
2015 м 58.0 3 80 Cola 8936
2016 ж 78.0 5 32 Water 1817
2017 "Не указан" 29.0 16648303 15 Cola 2843
2018 м  0 24 Cola 6228
2019 - 33.0 2 79 Fanta 8032
2020 м 87.0 5 69 Water 5204
2021 Ж 95.0 5 27 Beerbeer 980
2022 ж 93.0 1 49 Cola 6889
2023 ж 36.0 4 34 Bugbeer 4446
2024 - 99.0 3 41 Beerbeer 2304
2025 ж 54.0 2616649 57 Cola 3681
2026 Ж 39.0 3 50 Bugbeer 8417
2027 Ж 62.0 1 26 Fanta 3492
2028 м 4.0 1 27 Water 5565
2029 M 32.0 0 29 "Strong beer" 4558
2030 Ж 85.0 -4 34 Cola 9174
2031 "Не указан" 34.0 4 55 Beerbeer 8041
2032 м 51.0 0 49 Water 4579
2033 Ж 60.0 0 23 Water 1753
2034 Ж 51.0 0 74 Beerbeer 1729
2035 M 57.0 2 52 Cola 6556
2036 - 34.0 5 40 Cola 2542
2037 M 35.0 4 56 Cola 3343
2038 Ж 35.0 4 20 Water 1785
2039 м 63.0 4 37 Fanta 9113
2040 Ж 75.0 5 69 Cola 4291
2041 - 8.0 3 14 Cola 8712
2042 - 24.0 2 62 Fanta 8425
2043 м 31.0 -6 28 "Strong beer" 8514
2044 - 44.0 4 48 "Strong beer" 5044
2045 M 48.0 5 19 Water 9832
2046 M 5.0 2 22 "Strong beer" 3273
2047 ж 96.0 2 15 Cola 2587
2048 M 16.0 5 71 Water 1239
2049 Ж 81.0 2 26 Cola 8736
2050 Ж 15.0 81396318 45 "Strong beer" 2268
2051 M 85.0 4 31 Water 28
2052 "Не указан" 35.0 2 33 Bugbeer 9231
2053 м 70.0 2 45 Water 2239
2054 Ж 97.0 1 14 Fanta 4469
2055 "Не указан" 96.0 0 32 Water 5601
2056 "Не указан" 1.0 3 43 Bugbeer 3881
2057 Ж 2.0 1 31 Cola 4219
2058 м 90.0 4 17 Water 2654
2059 M 62.0 1 36 Fanta 881
2060 ж 55.0 5 76 "Strong beer" 9715
2061 ж 1.0 1 37 Fanta 6437
2062 - 44.0 2 57 Fanta 3297
2063 "Не указан" 18.0 0 36 Fanta 6527
2064 - 13.0 4 17 Fanta 9472
2065 м 84.0 1 68 Cola 2750
2066 м 64.0 4 78 Water 3495
2067 - 6.0 4 70 "Strong beer" 4280
2068 Ж 10.0 0 78 "Strong beer" 7101
2069 Ж 22.0 4 15 Water 8012
2070 Ж 96.0 1 55 Bugbeer 1441
2071 "Не указан" 61.0 4 16 Water 6110
2072 Ж 87.0 3 19 Fanta 2335
2073 M 71.0 -2 21 "Strong beer" 4427
2074 "Не указан" 49.0 2 73 Fanta 6452
2075 Ж 31.0 3 39 "Strong beer" 5579
2076 M 67.0 5 46 "Strong beer" 9746
2077 Ж 49.0 3 70 Beerbeer 6239
2078 M 46.0 5 19 Water 9740
2079 M 93.0 1 56 Beerbeer 9682
2080 Ж 21.0 2 51 Fanta 8818
2081 ж 40.0 2 51 "Strong beer" 7872
2082 Ж 91.0 5 26 Bugbeer 2691
2083 ж 5.0 0 48 Beerbeer 7868
2084 м 52.0 3 69 Fanta 5083
2085 ж 30.0 3 25 Cola 2734
2086 м 23.0 0 44 Water 7000
2087 м 24.0 2 16 Water 4283
2088 M 98.0 3 47 Cola 3613
2089 - 45.0 1 42 Water 1090
2090 Ж 59.0 5 34 Beerbeer 5682
2091 "Не указан" 55.0 3 78 Bugbeer 8260
2092 M 86.0 3 65 Cola 8845
2093 Ж 21.0 3 33 Water 6860
2094 - 56.0 64903931 13 Cola 1155
2095 ж 1.0 93064333 45 Cola 4892
2096 - 84.0 0 57 Fanta 3319
2097 ж 57.0 1 55 Cola 4123
2098 - 15.0 3 42 Bugbeer 7211
2099 M 65.0 4 41 Cola 9661
2100 M 31.0 2 17 Water 179
2101 "Не указан" 42.0 5 32 Fanta 5448
2102 Ж 82.0 5 56 Beerbeer 9587
2103 ж 33.0 -1 66 Water 3230
2104 м 77.0 2 34 "Strong beer" 3669
2105 M 54.0 2 44 "Strong beer" 307
2106 "Не указан" 54.0 1 73 Beerbeer 334
2107 - 66.0 1 27 Cola 3981
2108 M 36.0 0 49 Fanta 4667
2109 м 37.0 -4 17 Water 7564
2110 M 61.0 1 65 Bugbeer 3662
2111 M 92.0 2 13 Cola 7881
2112 Ж 31.0 2 50 Beerbeer 8878
2113 - 77.0 1 37 Cola 5415
2114 "Не указан" 63.0 1 10 Fanta 1154
2115 - 93.0 4 60 Fanta 6806
2116 "Не указан" 61.0 3 15 Fanta 8690
2117 Ж 87.0 3 77 Fanta 7764
2118 - 9.0 2 15 Water 4394
2119 "Не указан" 69.0 1 31 "Strong beer" 3939
2120 M 3.0 2 76 Water 2606
2121 M 39.0 1 10 Water 1008
2122 - 91.0 2 54 Water 8446
2123 M 45.0 -3 75 Beerbeer 4943
2124 - 31.0 2 13 Water 4050
2125 м  5 75 "Strong beer" 391
2126 Ж 79.0 2 26 Bugbeer 1831
2127 м 10.0 3 31 Water 6264
2128 M 92.0 2 67 "Strong beer" 4179
2129 ж 91.0 2 79 Fanta 222
2130 - 94.0 0 70 "Strong beer" 6337
2131 Ж 21.0 1 30 Fanta 6394
2132 "Не указан" 68.0 4 63 Beerbeer 5493
2133 "Не указан" 59.0 3 25 "Strong beer" 5302
2134 м 92.0 4 54 Beerbeer 9010
2135 M 58.0 0 36 Water 617
2136 ж 24.0 1 28 "Strong beer" 8318
2137 - 15.0 5 57 Water 8617
2138 м 48.0 5 11 Water 7898
2139 M 26.0 5 49 Water 6100
2140 "Не указан" 100.0 3 14 Cola 8854
2141 M 99.0 0 42 Fanta 8384
2142 Ж 37.0 1 13 Cola 4381
2143 Ж 86.0 0 67 Beerbeer 7460
2144 -  4 63 "Strong beer" 8522
2145 "Не указан" 90.0 2 75 Water 5074
2146 M 92.0 0 59 Water 6215
2147 M 77.0 4 79 Water 9765
2148 -  1 59 Water 5974
2149 M 97.0 4 20 Fanta 9223
2150 - 47.0 5 54 Fanta 7304
2151 м 84.0 2 49 "Strong beer" 8745
2152 Ж 74.0 9593963 38 Beerbeer 6414
2153 м 86.0 5 53 Beerbeer 8037
2154 - 56.0 2 70 "Strong beer" 1629
2155 M 24.0 5 35 Beerbeer 404
2156 Ж 62.0 1 71 "Strong beer" 9080
2157 M 71.0 5 10 Water 5379
2158 "Не указан" 1.0 0 12 Fanta 8383
2159 - 9.0 5 58 Water 632
2160 ж 92.0 3 25 Beerbeer 5702
2161 - 2.0 3 39 Water 7843
2162 "Не указан" 75.0 -2 40 Cola 6817
2163 Ж 55.0 1 54 "Strong beer" 3172
2164 м 88.0 4 46 Bugbeer 7833
2165 M 83.0 5 37 Cola 9021
2166 Ж 73.0 4 52 Beerbeer 7214
2167 - 97.0 0 16 Cola 8415
2168 Ж 39.0 98305141 74 Fanta 8914
2169 ж 99.0 5 60 Beerbeer 507
2170 M 40.0 3 62 Fanta 716
2171 "Не указан" 97.0 1 56 Beerbeer 5101
2172 "Не указан" 87.0 87646033 75 Bugbeer 7268
2173 -  1 62 Bugbeer 7242
2174 - 35.0 -5 78 Cola 2362
2175 м 54.0 3 68 Beerbeer 1561
2176 ж 31.0 4 33 Fanta 7817
2177 м 90.0 6135527 47 Bugbeer 8950
2178 M 33.0 93567336 38 Fanta 4218
2179 ж 15.0 1 30 Beerbeer 2824
2180 м 46.0 29249797 23 Fanta 717
2181 Ж 65.0 0 30 Water 2271
2182 м 21.0 4 34 Fanta 7389
2183 M 51.0 2 40 Cola 5284
2184 - 33.0 3 34 Beerbeer 2150
2185 M 65.0 5 75 Bugbeer 9845
2186 M 11.0 3 48 Beerbeer 2350
2187 M 53.0 1 13 Fanta 2256
2188 - 62.0 5 77 Fanta 6994
2189 "Не указан" 7.0 2 65 "Strong beer" 2663
2190 Ж 7.0 5 10 Water 5296
2191 м 9.0 2 61 Beerbeer 6743
2192 - 96.0 5 22 Beerbeer 7708
2193 M 32.0 2 34 Fanta 3980
2194 "Не указан" 14.0 4 18 Fanta 2347
2195 "Не указан" 72.0 26900067 10 Cola 601
2196 Ж 97.0 0 48 Cola 7433
2197 M 41.0 -6 45 Cola 2074
2198 "Не указан" 47.0 0 46 Beerbeer 844
2199 "Не указан" 99.0 3 54 Beerbeer 4944
2200 M 61.0 3 80 Fanta 834
2201 ж 80.0 5 80 Cola 7844
2202 Ж 49.0 -6 70 Water 927
2203 м 92.0 0 62 Bugbeer 3244
2204 Ж 59.0 5 76 Beerbeer 4051
2205 Ж 48.0 1 42 Bugbeer 9530
2206 Ж 63.0 3 21 Fanta 428
2207 м 88.0 5 44 Fanta 139
2208 м 86.0 4 41 Beerbeer 9912
2209 "Не указан" 48.0 3 14 Fanta 6152
2210 ж 67.0 2 41 Beerbeer 2195
2211 M 36.0 -1 73 Cola 9722
2212 M 98.0 2 71 Beerbeer 2428
2213 -  0 48 Beerbeer 4757
2214 м 1.0 1 74 "Strong beer" 9116
2215 - 66.0 4 53 "Strong beer" 4981
2216 Ж 36.0 4 18 Fanta 6744
2217 Ж 61.0 2 16 Cola 4293
2218 Ж 52.0 3 22 Beerbeer 532
2219 ж 51.0 4 56 Beerbeer 1318
2220 Ж 28.0 1 55 "Strong beer" 7869
2221 - 78.0 1 52 "Strong beer" 1246
2222 Ж 0.0 3 29 Fanta 7560
2223 м 4.0 3 48 Water 9805
2224 ж  2 62 Beerbeer 9552
2225 ж 91.0 0 69 Bugbeer 918
2226 Ж 71.0 4 59 Bugbeer 4244
2227 м 1.0 5 62 Bugbeer 2518
2228 - 31.0 3 67 Beerbeer 3514
2229 ж 47.0 2 15 Cola 4729
2230 "Не указан" 11.0 3 40 Cola 8086
2231 ж 76.0 2 22 Water 6943
2232 "Не указан" 24.0 4 29 Water 2240
2233 м 100.0 2 61 "Strong beer" 2788
2234 - 19.0 2 26 "Strong beer" 4337
2235 "Не указан" 53.0 2 27 Bugbeer 9260
2236 M 55.0 4 52 Fanta 9115
2237 - 79.0 0 21 Water 621
2238 - 3.0 1 32 Fanta 8724
2239 M 87.0 1 55 Fanta 301
2240 "Не указан" 19.0 -5 13 Fanta 8785
2241 м 49.0 0 74 Bugbeer 7654
2242 м 85.0 2 18 Fanta 8036
2243 Ж 63.0 3 22 "Strong beer" 4175
2244 M 63.0 2 59 "Strong beer" 2853
2245 Ж 49.0 1 71 Bugbeer 4775
2246 "Не указан" 83.0 0 19 Fanta 5280
2247 - 33.0 1 36 Beerbeer 6243
2248 м 35.0 2 53 Water 2695
2249 м 60.0 2 72 Cola 9791
2250 M 9.0 0 33 Beerbeer 6914
2251 "Не указан" 50.0 47140961 38 Water 6952
2252 - 32.0 -4 76 Fanta 5543
2253 м 79.0 0 31 Fanta 310
2254 ж 77.0 2 27 Fanta 7180
2255 Ж 28.0 5 38 "Strong beer" 4157
2256 ж 52.0 33905846 47 "Strong beer" 1272
2257 - 44.0 3 34 Water 1324
2258 м 7.0 5 55 Bugbeer 4545
2259 "Не указан" 6.0 4 41 "Strong beer" 5819
2260 ж 24.0 2 52 Bugbeer 7638
2261 M 22.0 2 56 Water 4600
